brand,url,host,slug,logo_path,logo_status,logo_source,logo_url,logo_error
81bet,https://81betcasino.io,81betcasino.io,81bet,assets/logos/81bet.webp,fetched,img,https://81betcasino.io/assets/images/81bet.png,
822bet,https://822bet.br.com,822bet.br.com,822bet,assets/logos/822bet.webp,fetched,img,https://822bet.br.com/assets/images/822bet.png,
8555bet,https://8555betbrasil.com,8555betbrasil.com,8555bet,assets/logos/8555bet.webp,fetched,img,https://8555betbrasil.com/images/logo.png,
868bet,https://868bet.br.com,868bet.br.com,868bet,assets/logos/868bet.webp,fetched,img,https://868bet.br.com/assets/images/868bet.png,
882bet,https://882bet.br.com,882bet.br.com,882bet,assets/logos/882bet.webp,fetched,img,https://882bet.br.com/assets/images/001win.png,
88855bet,https://88855betbrasil.com,88855betbrasil.com,88855bet,assets/logos/88855bet.webp,fetched,img,https://88855betbrasil.com/assets/images/88855bet.png,
888brl,https://888brl.br.com,888brl.br.com,888brl,assets/logos/888brl.webp,fetched,img,https://888brl.br.com/assets/images/888brl.png,
888games,https://888games.br.com,888games.br.com,888games,assets/logos/888games.webp,fetched,img,https://888games.br.com/assets/images/888games.png,
888jogo,https://888jogo.net.im,888jogo.net.im,888jogo,assets/logos/888jogo.webp,fetched,img,https://888jogo.net.im/assets/images/888jogo.png,
888jogos,https://888jogosbrasil.com,888jogosbrasil.com,888jogos,assets/logos/888jogos.webp,fetched,img,https://888jogosbrasil.com/assets/images/888jogos.png,
888poker,https://888poker.br.com,888poker.br.com,888poker,assets/logos/888poker.webp,fetched,img,https://888poker.br.com/assets/images/888poker.png,
888sport,https://888sport.br.com,888sport.br.com,888sport,assets/logos/888sport.webp,fetched,img,https://888sport.br.com/assets/images/888sport.png,
888wim,https://888wimbrasil.com,888wimbrasil.com,888wim,assets/logos/888wim.webp,fetched,og:image,https://888wimbrasil.com/images/888wim.png,
88casino,https://88casinobrasil.com,88casinobrasil.com,88casino,assets/logos/88casino.webp,fetched,img,https://88casinobrasil.com/assets/images/88casino.png,
88pg,https://88pgbrasil.com,88pgbrasil.com,88pg,assets/logos/88pg.webp,fetched,img,https://88pgbrasil.com/assets/images/88pg.png,
88wim,https://88wimbrasil.com,88wimbrasil.com,88wim,assets/logos/88wim.webp,fetched,og:image,https://88wimbrasil.com/images/88wim.png,
88win,https://88win.br.com,88win.br.com,88win,assets/logos/88win.webp,fetched,img,https://88win.br.com/assets/images/88win.png,
89betwin,https://89betwinbrasil.com,89betwinbrasil.com,89betwin,assets/logos/89betwin.webp,fetched,og:image,https://89betwinbrasil.com/images/89betwin.png,
89e,https://89e.br.com,89e.br.com,89e,assets/logos/89e.webp,fetched,img,https://89e.br.com/assets/images/89e.png,
8bet,https://8betbrasil.com,8betbrasil.com,8bet,assets/logos/8bet.svg,fallback,generated-fallback,,https://8betbrasil.com/logo.png: HTTP Error 404: Not Found | https://8betbrasil.com/assets/logo.png: HTTP Error 404: Not Found | https://8betbrasil.com/assets/images/logo.png: HTTP Error 404: Not Found
923bet,https://923betbrasil.com,923betbrasil.com,923bet,assets/logos/923bet.webp,fetched,img,https://923betbrasil.com/assets/images/923bet.png,
936bet,https://936betbrasil.com,936betbrasil.com,936bet,assets/logos/936bet.webp,fetched,img,https://936betbrasil.com/assets/images/936bet.png,
9552bet,https://9552betbrasil.com,9552betbrasil.com,9552bet,assets/logos/9552bet.webp,fetched,img,https://9552betbrasil.com/assets/images/9552bet.png,
9595bet,https://9595betbrasil.com,9595betbrasil.com,9595bet,assets/logos/9595bet.webp,fetched,img,https://9595betbrasil.com/img/logo.webp,
965bet,https://965betbrasil.com,965betbrasil.com,965bet,assets/logos/965bet.webp,fetched,img,https://965betbrasil.com/images/logo.png,
971bet,https://971bet.br.com,971bet.br.com,971bet,assets/logos/971bet.webp,fetched,img,https://971bet.br.com/assets/images/971bet.png,
979bet,https://979bet.io,979bet.io,979bet,assets/logos/979bet.webp,fetched,img,https://979bet.io/assets/images/979bet.png,
982bet,https://982bet.io,982bet.io,982bet,assets/logos/982bet.webp,fetched,img,https://982bet.io/assets/images/982bet.png,
989bet,https://989bet.br.com,989bet.br.com,989bet,assets/logos/989bet.webp,fetched,img,https://989bet.br.com/assets/images/989bet.png,
9969bet,https://9969betbrasil.com,9969betbrasil.com,9969bet,assets/logos/9969bet.webp,fetched,og:image,https://9969betbrasil.com/images/9969bet.png,
9992bet,https://9992betbrasil.com,9992betbrasil.com,9992bet,assets/logos/9992bet.webp,fetched,img,https://9992betbrasil.com/assets/images/9992bet.png,
999bb,https://999bbbrasil.com,999bbbrasil.com,999bb,assets/logos/999bb.webp,fetched,img,https://999bbbrasil.com/images/logo.png,
999g,https://999g.br.com,999g.br.com,999g,assets/logos/999g.webp,fetched,img,https://999g.br.com/assets/images/999g.png,
999win,https://999winbrasil.com,999winbrasil.com,999win,assets/logos/999win.webp,fetched,img,https://999winbrasil.com/assets/images/999win.png,
99brl,https://99brlbrasil.com,99brlbrasil.com,99brl,assets/logos/99brl.webp,fetched,img,https://99brlbrasil.com/assets/images/99brl.png,
9fbet,https://9fbet.br.com,9fbet.br.com,9fbet,assets/logos/9fbet.webp,fetched,img,https://9fbet.br.com/assets/images/9fbet.png,
9fgames,https://9fgamesbrasil.com,9fgamesbrasil.com,9fgames,assets/logos/9fgames.webp,fetched,img,https://9fgamesbrasil.com/assets/images/9fgames.png,
9kbet,https://9kbett.uk.com,9kbett.uk.com,9kbet,assets/logos/9kbet.webp,fetched,img,https://9kbett.uk.com/assets/images/9kbet.png,
a6bet,https://a6bet.br.com,a6bet.br.com,a6bet,assets/logos/a6bet.webp,fetched,img,https://a6bet.br.com/assets/images/a6bet.png,
aa888bet,https://aa888bet.br.com,aa888bet.br.com,aa888bet,assets/logos/aa888bet.webp,fetched,img,https://aa888bet.br.com/assets/images/aa888bet.png,
ajogo,https://ajogo.br.com,ajogo.br.com,ajogo,assets/logos/ajogo.webp,fetched,img,https://ajogo.br.com/assets/images/ajogo.png,
ak8888,https://ak8888brasil.com,ak8888brasil.com,ak8888,assets/logos/ak8888.webp,fetched,img,https://ak8888brasil.com/img/logo.webp,
alfabet,https://alfabet.br.com,alfabet.br.com,alfabet,assets/logos/alfabet.webp,fetched,img,https://alfabet.br.com/assets/images/alfabet.png,
amabet,https://amabet.br.com,amabet.br.com,amabet,assets/logos/amabet.webp,fetched,img,https://amabet.br.com/assets/images/amabet.png,
appbet,https://appbet.br.com,appbet.br.com,appbet,assets/logos/appbet.webp,fetched,img,https://appbet.br.com/assets/images/appbet.png,
arrwin,https://arrwinbrasil.com,arrwinbrasil.com,arrwin,assets/logos/arrwin.webp,fetched,img,https://arrwinbrasil.com/img/logo.webp,
ate777,https://ate777.br.com,ate777.br.com,ate777,assets/logos/ate777.webp,fetched,img,https://ate777.br.com/assets/images/ate777.png,
awin,https://awin.br.com,awin.br.com,awin,assets/logos/awin.webp,fetched,img,https://awin.br.com/assets/images/awin.png,
b365,https://b365.br.com,b365.br.com,b365,assets/logos/b365.webp,fetched,img,https://b365.br.com/assets/images/b365.png,
b7k,https://b7k.br.com,b7k.br.com,b7k,assets/logos/b7k.webp,fetched,img,https://b7k.br.com/assets/images/b7k.png,
bantubet,https://bantubet.br.com,bantubet.br.com,bantubet,assets/logos/bantubet.webp,fetched,img,https://bantubet.br.com/assets/images/bantubet.png,
